date,close,volume,future_return,label,ticker,executive,company
2024-12-06,439.3191223144531,18821000,0.008341362980892298,1,MSFT,Satya Nadella,Microsoft
2024-12-09,441.7456359863281,19144400,0.012488254847748768,1,MSFT,Satya Nadella,Microsoft
2024-12-10,439.0813903808594,18469500,0.025105472900374962,1,MSFT,Satya Nadella,Microsoft
2024-12-11,444.68719482421875,19200200,-0.025835826211559405,0,MSFT,Satya Nadella,Microsoft
2024-12-12,445.251708984375,20834800,-0.027871814737867175,0,MSFT,Satya Nadella,Microsoft
2024-12-13,442.983642578125,20177800,-0.023855913684559766,0,MSFT,Satya Nadella,Microsoft
2024-12-16,447.26226806640625,23598800,-0.03618333652886314,0,MSFT,Satya Nadella,Microsoft
2024-12-17,450.104736328125,22733500,-0.03329228657175603,0,MSFT,Satya Nadella,Microsoft
2024-12-18,433.1983337402344,24444500,0.0016460675744342586,1,MSFT,Satya Nadella,Microsoft
2024-12-19,432.84173583984375,22963700,-0.014873064615586802,0,MSFT,Satya Nadella,Microsoft
2024-12-20,432.4158630371094,64263700,-0.026958228233045528,0,MSFT,Satya Nadella,Microsoft
2024-12-23,431.0788269042969,19152500,-0.03159103219114867,0,MSFT,Satya Nadella,Microsoft
2024-12-24,435.1197204589844,7164500,-0.04723101825690456,0,MSFT,Satya Nadella,Microsoft
2024-12-26,433.9114074707031,8194200,-0.03369012665200445,0,MSFT,Satya Nadella,Microsoft
2024-12-27,426.404052734375,18117700,-0.00622483969835407,0,MSFT,Satya Nadella,Microsoft
2024-12-30,420.7586975097656,13158700,-0.005790568083762728,0,MSFT,Satya Nadella,Microsoft
2024-12-31,417.4606018066406,13246500,0.0072598484036045866,1,MSFT,Satya Nadella,Microsoft
2025-01-02,414.5685729980469,16896500,0.0008840168299608461,1,MSFT,Satya Nadella,Microsoft
2025-01-03,419.2928771972656,16662900,-0.01455057426498369,0,MSFT,Satya Nadella,Microsoft
2025-01-06,423.749755859375,20573600,-0.028467893544831733,0,MSFT,Satya Nadella,Microsoft
2025-01-07,418.322265625,18139100,0.00932826674635005,1,MSFT,Satya Nadella,Microsoft
2025-01-08,420.4913024902344,15054600,4.695667408562764e-05,1,MSFT,Satya Nadella,Microsoft
2025-01-10,414.93505859375,20201100,0.024060146836795575,1,MSFT,Satya Nadella,Microsoft
2025-01-13,413.1919250488281,17604800,0.027109991651816878,1,MSFT,Satya Nadella,Microsoft
2025-01-14,411.6864929199219,16935900,0.07344770177751266,1,MSFT,Satya Nadella,Microsoft
2025-01-15,422.2244873046875,19637800,0.047852574675550895,1,MSFT,Satya Nadella,Microsoft
2025-01-16,420.51104736328125,15300000,0.04588075771014883,1,MSFT,Satya Nadella,Microsoft
2025-01-17,424.91845703125,26197500,0.012889507752521451,1,MSFT,Satya Nadella,Microsoft
2025-01-21,424.3935546875,26085700,0.04364051185170015,1,MSFT,Satya Nadella,Microsoft
2025-01-22,441.9239196777344,27803800,-0.008673318204044855,0,MSFT,Satya Nadella,Microsoft
2025-01-23,442.42901611328125,18389300,-0.0710080362743571,0,MSFT,Satya Nadella,Microsoft
2025-01-24,439.8044128417969,15549500,-0.06530640680217363,0,MSFT,Satya Nadella,Microsoft
2025-01-27,430.39544677734375,35647800,-0.05439971841847502,0,MSFT,Satya Nadella,Microsoft
2025-01-28,442.914306640625,23491700,-0.07788462757492791,0,MSFT,Satya Nadella,Microsoft
2025-01-29,438.0909729003906,23581400,-0.06565224917652739,0,MSFT,Satya Nadella,Microsoft
2025-01-30,411.01300048828125,54586300,0.00199998901104939,1,MSFT,Satya Nadella,Microsoft
2025-01-31,411.0823669433594,34161900,-0.012793434348795915,0,MSFT,Satya Nadella,Microsoft
2025-02-03,406.9820556640625,25679100,0.0031635451381629917,1,MSFT,Satya Nadella,Microsoft
2025-02-04,408.4180908203125,20532100,-0.002255167060647787,0,MSFT,Satya Nadella,Microsoft
2025-02-05,409.3293151855469,16316700,-0.010283456161578147,0,MSFT,Satya Nadella,Microsoft
2025-02-06,411.83502197265625,16309800,-0.01269780459592101,0,MSFT,Satya Nadella,Microsoft
2025-02-07,405.8232116699219,22886800,-0.0032214582401959993,0,MSFT,Satya Nadella,Microsoft
2025-02-10,408.2695617675781,20817900,-0.006258849767049726,0,MSFT,Satya Nadella,Microsoft
2025-02-11,407.4970397949219,18140600,0.00809347029172695,1,MSFT,Satya Nadella,Microsoft
2025-02-12,405.1199951171875,19121700,0.01937329886646842,1,MSFT,Satya Nadella,Microsoft
2025-02-13,406.6056213378906,23891700,-0.0036816479684663055,0,MSFT,Satya Nadella,Microsoft
2025-02-14,404.515869140625,22758500,-0.008863103741511995,0,MSFT,Satya Nadella,Microsoft
2025-02-18,405.7142639160156,21423100,-0.026711682962319978,0,MSFT,Satya Nadella,Microsoft
2025-02-19,410.79510498046875,24114200,-0.03432859859501577,0,MSFT,Satya Nadella,Microsoft
2025-02-20,412.968505859375,23508700,-0.05671315249784365,0,MSFT,Satya Nadella,Microsoft
2025-02-21,405.108642578125,27524800,-0.027485875280611093,0,MSFT,Satya Nadella,Microsoft
2025-02-24,400.93060302734375,26443700,-0.03839106010537313,0,MSFT,Satya Nadella,Microsoft
2025-02-25,394.876953125,29387400,-0.023347580338020646,0,MSFT,Satya Nadella,Microsoft
2025-02-26,396.6930847167969,19619000,0.0032271343617687703,1,MSFT,Satya Nadella,Microsoft
2025-02-27,389.5477600097656,21127400,0.011107506552640756,1,MSFT,Satya Nadella,Microsoft
2025-02-28,393.973876953125,32845700,-0.009269670580405362,0,MSFT,Satya Nadella,Microsoft
2025-03-03,385.5384521484375,23007700,-0.021441941962384563,0,MSFT,Satya Nadella,Microsoft
2025-03-04,385.65753173828125,29342900,-0.020997883554507928,0,MSFT,Satya Nadella,Microsoft
2025-03-05,397.9732666015625,23433100,-0.04426212587766935,0,MSFT,Satya Nadella,Microsoft
2025-03-06,393.8746643066406,23304600,-0.045654955628895086,0,MSFT,Satya Nadella,Microsoft
2025-03-07,390.3218688964844,22034100,-0.012077106398269845,0,MSFT,Satya Nadella,Microsoft
2025-03-10,377.2717590332031,32840100,0.022464252812207555,1,MSFT,Satya Nadella,Microsoft
2025-03-11,377.5595397949219,30380200,0.008069353455107963,1,MSFT,Satya Nadella,Microsoft
2025-03-12,380.3581237792969,24253600,0.011871553707503665,1,MSFT,Satya Nadella,Microsoft
2025-03-13,375.892333984375,20473000,0.021305747066712996,1,MSFT,Satya Nadella,Microsoft
2025-03-14,385.60791015625,19952800,0.006948937921428346,1,MSFT,Satya Nadella,Microsoft
2025-03-17,385.74688720703125,22474300,0.011268296256517128,1,MSFT,Satya Nadella,Microsoft
2025-03-18,380.606201171875,19486900,0.03035054391925915,1,MSFT,Satya Nadella,Microsoft
2025-03-19,384.8735656738281,19185500,0.0055438127803137715,1,MSFT,Satya Nadella,Microsoft
2025-03-20,383.9010009765625,18470500,0.009667981698722097,1,MSFT,Satya Nadella,Microsoft
2025-03-21,388.2874755859375,39675900,-0.03184595883302927,0,MSFT,Satya Nadella,Microsoft
