ticker,executive,company,published_at,title,description,content,source,url,data_source
MSFT,Satya Nadella,Microsoft,20231013T223000Z,  Call of Duty  Joins Xbox : Microsoft Finalizes Activision Deal Following Regulatory Approval | HNGN,  Call of Duty  Joins Xbox : Microsoft Finalizes Activision Deal Following Regulatory Approval | HNGN,  Call of Duty  Joins Xbox : Microsoft Finalizes Activision Deal Following Regulatory Approval | HNGN,hngn.com,http://www.hngn.com/articles/252921/20231013/call-duty-joins-xbox-microsoft-finalizes-activision-deal-following-regulatory.htm,gdelt
MSFT,Satya Nadella,Microsoft,20231121T133000Z,Bjyu rejects ED probe findings ; Tesla ready to roll soon from India,Bjyu rejects ED probe findings ; Tesla ready to roll soon from India,Bjyu rejects ED probe findings ; Tesla ready to roll soon from India,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/newsletters/tech-top-5/bjyus-rejects-ed-probe-findings-tesla-ready-to-roll-soon-from-india/articleshow/105390217.cms,gdelt
MSFT,Satya Nadella,Microsoft,20231123T024500Z,챗GPT  실리콘밸리의 가장 큰 딜레마 드러냈다  : 경제일반 : 경제 : 뉴스 : 한겨레,챗GPT  실리콘밸리의 가장 큰 딜레마 드러냈다  : 경제일반 : 경제 : 뉴스 : 한겨레,챗GPT  실리콘밸리의 가장 큰 딜레마 드러냈다  : 경제일반 : 경제 : 뉴스 : 한겨레,hani.co.kr,https://www.hani.co.kr/arti/economy/economy_general/1117513.html,gdelt
MSFT,Satya Nadella,Microsoft,20231120T021500Z,Sam Altman Friends and Foes : Who Who in OpenAI Drama,Sam Altman Friends and Foes : Who Who in OpenAI Drama,Sam Altman Friends and Foes : Who Who in OpenAI Drama,finance.yahoo.com,https://finance.yahoo.com/news/sam-altman-friends-foes-openai-171851742.html,gdelt
MSFT,Satya Nadella,Microsoft,20231120T110000Z,Microsoft hires Sam Altman 3 days after OpenAI fired him as CEO,Microsoft hires Sam Altman 3 days after OpenAI fired him as CEO,Microsoft hires Sam Altman 3 days after OpenAI fired him as CEO,cbsnews.com,https://www.cbsnews.com/news/microsoft-hires-fired-openai-ceo-sam-altman/,gdelt
MSFT,Satya Nadella,Microsoft,20231125T150000Z,OpenAI fiasco triggers serious calls for guardrails around AI industry,OpenAI fiasco triggers serious calls for guardrails around AI industry,OpenAI fiasco triggers serious calls for guardrails around AI industry,morungexpress.com,http://morungexpress.com/openai-fiasco-triggers-serious-calls-for-guardrails-around-ai-industry,gdelt
MSFT,Satya Nadella,Microsoft,20231108T023000Z, [ 10분 뉴스정복 ] 윤 대통령은 카카오 택시를 타본 적 없다, [ 10분 뉴스정복 ] 윤 대통령은 카카오 택시를 타본 적 없다, [ 10분 뉴스정복 ] 윤 대통령은 카카오 택시를 타본 적 없다,ohmynews.com,https://www.ohmynews.com/NWS_Web/Series/series_premium_pg.aspx?CNTN_CD=A0002976074&PAGE_CD=N0002&CMPT_CD=M0112,gdelt
MSFT,Satya Nadella,Microsoft,20231120T223000Z,Explaining the Upheaval at OpenAI,Explaining the Upheaval at OpenAI,Explaining the Upheaval at OpenAI,nytimes.com,https://www.nytimes.com/2023/11/20/technology/openai-sam-altman-microsoft.html,gdelt
MSFT,Satya Nadella,Microsoft,20231122T141500Z,The Fallout From Sam Altman Return to OpenAI - The New York Times,The Fallout From Sam Altman Return to OpenAI - The New York Times,The Fallout From Sam Altman Return to OpenAI - The New York Times,nytimes.com,https://www.nytimes.com/2023/11/22/business/dealbook/openai-altman-microsoft-board.html,gdelt
MSFT,Satya Nadella,Microsoft,20231121T180000Z,Microsoft chief says  no OpenAI  without tech giant involvement | Microsoft,Microsoft chief says  no OpenAI  without tech giant involvement | Microsoft,Microsoft chief says  no OpenAI  without tech giant involvement | Microsoft,theguardian.com,https://www.theguardian.com/technology/2023/nov/21/microsoft-ceo-nadella-openai-altman,gdelt
